,open,high,low,close,preclose,volume,amount,turn,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,10_days_beta,20_days_beta,30_days_beta,date
2022-11-01,10.3,10.48,10.16,10.47,10.19,25502058.0,262830468.17,3.6671,2.7478,122.053204,2.380582,0.305845,-1.278577,1.0278402641362956,1.0278402641362956,1.0278402641362956,2022-11-01
2022-11-02,10.45,11.05,10.36,10.96,10.47,38173342.0,412679907.98,5.4891,4.68,127.76534,2.491994,0.320159,-1.338414,1.5141853692789318,1.5141853692789318,1.5141853692789318,2022-11-02
2022-11-03,10.8,11.5,10.74,11.11,10.96,40089392.0,447835467.32,5.7647,1.3686,129.513954,2.5261,0.324541,-1.356732,1.4506656687426736,1.4506656687426736,1.4506656687426736,2022-11-03
2022-11-04,11.1,11.49,11.05,11.4,11.11,40140361.0,452858763.74,5.772,2.6103,132.894606,2.592037,0.333012,-1.392146,1.3815609187110869,1.3815609187110869,1.3815609187110869,2022-11-04
2022-11-07,11.41,11.81,11.34,11.69,11.4,33661418.0,390462277.09,4.8403,2.5439,136.275258,2.657975,0.341484,-1.427561,1.2759039185398209,1.2759039185398209,1.2759039185398209,2022-11-07
2022-11-08,11.85,12.8,11.57,12.01,11.69,58102835.0,703068027.69,8.3549,2.7374,140.005633,2.730734,0.350831,-1.466638,1.2217307129537671,1.2217307129537671,1.2217307129537671,2022-11-08
2022-11-09,12.0,12.77,11.93,12.16,12.01,54097762.0,669728309.29,7.779,1.249,141.754246,2.76484,0.355213,-1.484956,1.3676151535303267,1.3676151535303267,1.3676151535303267,2022-11-09
2022-11-10,11.98,12.16,11.72,11.78,12.16,40283008.0,478437861.94,5.7925,-3.125,137.324426,2.678439,0.344113,-1.438551,1.449739069883605,1.449739069883605,1.449739069883605,2022-11-10
2022-11-11,11.97,12.96,11.88,12.86,11.78,93899034.0,1174766872.05,13.5022,9.1681,149.914441,2.924,0.375661,-1.570439,1.3505935202366428,1.3505935202366428,1.3505935202366428,2022-11-11
2022-11-14,13.3,13.99,12.51,13.45,12.86,100143892.0,1320792848.59,14.4002,4.5879,156.79232,3.058149,0.392896,-1.642488,1.05162114305284,1.05162114305284,1.05162114305284,2022-11-14
2022-11-15,13.1,13.92,12.92,13.47,13.45,66636542.0,896197142.04,9.582,0.1487,157.025468,3.062697,0.39348,-1.644931,1.070537692905811,1.070537692905811,1.070537692905811,2022-11-15
2022-11-16,13.29,13.58,12.86,13.09,13.47,44973831.0,591514310.29,6.467,-2.8211,152.595648,2.976296,0.38238,-1.598526,1.2668848845566274,1.2668848845566274,1.2668848845566274,2022-11-16
2022-11-17,13.09,13.27,12.73,12.96,13.09,33015041.0,428947692.39,4.7474,-0.9931,151.080183,2.946737,0.378582,-1.582651,1.3340510522437758,1.3340510522437758,1.3340510522437758,2022-11-17
2022-11-18,12.97,13.08,12.61,12.67,12.96,34715415.0,445411419.89,4.9919,-2.2377,147.699531,2.8808,0.370111,-1.547236,2.0858148004864354,2.0858148004864354,2.0858148004864354,2022-11-18
2022-11-21,12.5,12.65,12.15,12.62,12.67,31807826.0,393200881.88,4.5738,-0.3946,147.11666,2.869431,0.36865,-1.54113,2.0861708813324555,2.0861708813324555,2.0861708813324555,2022-11-21
2022-11-22,12.75,13.1,12.35,12.56,12.62,42971913.0,547018119.61,6.1792,-0.4754,146.417215,2.855789,0.366898,-1.533803,2.1233322781801074,2.1233322781801074,2.1233322781801074,2022-11-22
2022-11-23,12.38,12.86,12.22,12.71,12.56,29825532.0,375821772.44,4.2888,1.1943,148.165828,2.889894,0.371279,-1.552121,2.224487629831816,2.224487629831816,2.224487629831816,2022-11-23
2022-11-24,13.8,13.98,13.46,13.98,12.71,88805110.0,1231145032.76,12.7697,9.9921,162.970753,3.178656,0.408378,-1.707211,1.906017679283924,1.906017679283924,1.906017679283924,2022-11-24
2022-11-25,14.5,15.38,14.48,15.38,13.98,80030836.0,1213714555.67,11.508,10.0143,179.291144,3.496977,0.449274,-1.878176,0.1805819014994955,0.1805819014994955,0.1805819014994955,2022-11-25
2022-11-28,15.79,16.92,15.66,16.92,15.38,61388335.0,1011520481.28,8.8273,10.013,197.243573,3.847129,0.49426,-2.066238,-0.355017776543782,-0.355017776543782,-0.355017776543782,2022-11-28
2022-11-29,18.61,18.61,18.61,18.61,16.92,2783926.0,51808862.86,0.4003,9.9882,216.944615,4.231387,0.543628,-2.272618,2.892347636994524,2.892347636994524,2.892347636994524,2022-11-29
2022-11-30,20.47,20.47,20.47,20.47,18.61,4930395.0,100925185.65,0.709,9.9946,238.627419,4.654299,0.597961,-2.499758,2.588084406052586,2.588084406052586,2.588084406052586,2022-11-30
2022-12-01,22.52,22.52,21.88,22.52,20.47,37639488.0,845876822.66,5.4124,10.0147,262.525133,5.120411,0.657845,-2.7501,2.7476910708804883,2.7476910708804883,2.7476910708804883,2022-12-01
2022-12-02,22.03,22.2,20.27,20.27,22.52,117196933.0,2481611246.84,16.8524,-9.9911,236.295935,4.608824,0.592119,-2.475334,3.130420613788994,3.130420613788994,3.130420613788994,2022-12-02
2022-12-05,20.05,21.29,18.88,18.95,20.27,130575936.0,2611091300.18,18.7762,-6.5121,220.908139,4.308694,0.55356,-2.314138,1.7806338491466054,1.7806338491466054,1.7806338491466054,2022-12-05
2022-12-06,19.01,19.41,18.33,19.36,18.95,89148526.0,1684435412.09,12.8191,2.1636,225.687681,4.401916,0.565537,-2.364206,1.1260828429263658,1.1260828429263658,1.1260828429263658,2022-12-06
2022-12-07,18.54,18.8,17.93,18.26,19.36,75513842.0,1384939173.75,10.8585,-5.6818,212.864518,4.151807,0.533404,-2.229877,1.1786001709096967,1.1786001709096967,1.1786001709096967,2022-12-07
2022-12-08,18.48,19.11,18.2,18.5,18.26,82754729.0,1542865016.85,11.8997,1.3143,215.662299,4.206377,0.540415,-2.259185,1.813045513535751,1.813045513535751,1.813045513535751,2022-12-08
2022-12-09,18.66,19.98,18.66,19.0,18.5,92091349.0,1770905202.86,13.2423,2.7027,221.49101,4.320062,0.55502,-2.320244,2.922738156252196,2.922738156252196,2.922738156252196,2022-12-09
2022-12-12,18.0,19.48,17.8,18.36,19.0,72055492.0,1342482370.99,10.3612,-3.3684,214.03026,4.174544,0.536325,-2.242088,5.03729193831254,5.03729193831254,5.03729193831254,2022-12-12
2022-12-13,20.85248716987467,21.27053143409128,20.189853615163877,20.830089920203346,20.282305122012886,69637251.14246115,1407699474.15069,10.143288386976703,1.7713812711498793,242.7058612277455,4.713790813721524,0.6069600281392278,-2.5367443938768215,2.504446429818036,2.4308260135385718,2.496610166157511,2022-12-13
2022-12-14,21.12973453841824,21.46953155840447,20.527501164461082,20.87201869873668,20.614160110718615,63635372.829211675,1289989881.9026368,9.063654729956951,0.18675343598133542,243.1034841913804,4.715532579394163,0.6115771689222846,-2.5509456283019656,2.564514530410758,2.5850182151695056,2.644941946354426,2022-12-14
2022-12-15,21.504211236941565,21.955920238181783,21.13241993836364,21.279759653583866,20.80824049814435,75756540.6860324,1520321173.8391807,10.763580241628258,2.2943859574837293,250.83888337094703,4.8719663097559796,0.6224366499369833,-2.6092599405803716,2.675446535688841,2.6610983943186985,2.7292223280155805,2022-12-15
2022-12-16,21.73174389727383,22.480737553805128,20.984591258128162,21.406365986362093,21.520512652102077,98402632.9546572,1925462207.5553694,14.268345793907223,0.9821454492194448,249.9069314764958,4.8994548563629845,0.6291758900615592,-2.622268222574297,2.808611383015015,2.6840402277479702,2.831410749757053,2022-12-16
2022-12-19,21.821921443548916,22.64525582056089,20.913288505728307,21.696225110181466,21.58411512196554,92713201.93911643,1873012873.7394521,13.642330142324813,0.36350387119274163,251.86996483756374,4.945529008106497,0.6319953692620264,-2.6382590740430754,2.749514288831497,2.7684223194226982,2.7457483945554584,2022-12-19
2022-12-20,22.628293695286082,23.13118549103337,21.9762377263188,22.39839656193496,22.147901115890377,75617027.61668655,1601892107.0098875,10.72026708003742,1.2968115933216242,260.828808797082,5.117518126641729,0.6567490430899866,-2.7385617495544623,2.7444601042649053,2.7384642888959303,2.7721834824635287,2022-12-20
2022-12-21,22.842265510180702,23.36583617112489,22.297217722861674,22.744612554233772,22.608323229548848,68340759.94346556,1493301407.5217624,10.121387600255872,0.4170818984803861,263.4640934685432,5.146824024169399,0.6619772907578318,-2.7691496855962114,2.8449739376098586,2.88815547918409,2.8285695076029946,2022-12-21
